   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
00 31  9.34 +48 26 54.6   0.59
00 31 11.15 -01 12 44.4   1.44
00 31 11.23 +39 41 58.7   1.58
00 31 13.55 +10 16 41.7   1.01
00 31 13.63 +21 36 39.1   0.44
00 31 14.11 +44 32 12.9   0.48
00 31 14.46 +21 39 21.3   0.80
00 31 14.90 +18 35  0.6   0.50
00 31 16.67 +20 24 18.0   1.81
00 31 21.99 +30 15 53.1   0.63
00 31 22.05 +54 46 26.7   3.51
00 31 22.39 +40 57 16.0   0.44
00 31 23.20 +19 46 23.6   0.36
00 31 24.77 +38 05 50.2   0.88
00 31 26.13 +20 57 35.3   0.49
00 31 26.62 +34 40 18.5   0.81
00 31 26.73 -00 49 21.3   2.06
00 31 27.68 +02 09 12.3   0.85
00 31 28.70 +53 17  4.9   0.78
00 31 28.73 +16 32 32.9   0.54
00 31 30.23 +44 18 18.0   0.90
00 31 30.94 -11 23 35.0   1.50
00 31 30.97 +08 43 14.7   2.88
00 31 31.26 +18 32 52.9   0.92
00 31 31.55 +05 25 19.4   4.52
00 31 31.81 -28 32 18.7   0.76
00 31 32.54 -01 00 50.4  10.09
00 31 32.90 +21 48 32.6   0.57
00 31 35.55 +44 03 55.1   0.67
00 31 37.30 -18 43 20.0   2.10
00 31 37.36 +39 19  5.3   1.53
00 31 37.55 +59 27  1.8   1.29
00 31 38.04 +28 18  5.4   2.34
00 31 39.00 +19 06 28.2   0.54
00 31 40.86 -06 13 17.0   0.76
00 31 41.94 +10 23  2.1   0.46
00 31 42.37 +03 03 39.9   0.63
00 31 42.43 +04 19 41.1   0.88
00 31 42.57 +26 02  9.6   0.70
00 31 45.08 +47 38 59.8   0.56
00 31 45.36 -26 25 41.7   3.19
00 31 46.73 -09 33 15.5   1.31
00 31 47.17 -15 12 40.4   1.15
00 31 47.27 +03 59 13.8   0.59
00 31 47.58 +19 53 51.7   0.50
00 31 47.76 +21 53 45.2   6.80
00 31 49.40 +18 10 34.3   0.97
00 31 49.54 +05 53  8.2   1.29
00 31 50.59 -26 52 32.3   3.99
00 31 51.01 +47 35  3.3   0.74
00 31 51.96 +53 49  3.4   0.56
00 31 52.22 +21 56 47.6   0.47
00 31 53.24 -08 58 57.3   1.63
00 31 53.28 +04 44 42.4   0.94
00 31 53.68 +03 57  4.2   1.34
00 31 54.66 +49 56 14.0   0.64
00 31 54.97 -28 12 18.5   0.65
00 31 55.72 +37 29 35.4   1.25
00 31 56.70 +53 33 33.9   0.62
00 31 57.50 +06 58  5.1   0.86
00 31 57.74 -03 12 37.5   0.64
00 31 57.88 +02 55 24.7   1.38
00 31 58.16 -13 31  7.2   0.89
00 31 58.18 -18 27 52.0   0.64
00 31 58.63 +46 44 56.3   0.42
00 31 59.85 +33 59 54.1   0.51
00 31 59.91 -21 09 35.7   2.52
00 31 59.97 +26 40  0.1   2.86
00 32  0.26 +09 02 58.1   1.00
00 32  1.31 -08 51 42.7   1.70
00 32  3.14 +13 04 19.6   0.69
00 32  3.15 -22 58  5.9   5.76
00 32  4.06 +72 02 55.3   0.46
